Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area1,Cover_Type
120,12,385,-1,4071,205,218,127,5509,1,1
323,8,295,117,3329,213,216,172,1972,1,2
105,13,128,61,2758,211,234,189,2587,1,2
55,10,342,17,2759,226,236,170,2922,1,2
212,16,352,111,3449,202,244,118,1886,1,1
18,1,147,4,3045,229,210,118,2064,1,1
340,12,257,35,2909,180,230,180,2103,1,2
53,5,445,-110,3773,204,234,116,2528,1,1
209,11,171,90,3172,238,245,128,4250,1,1
5,13,228,0,3516,191,231,176,2427,1,1
82,13,183,94,3673,222,211,167,2436,1,1
185,16,116,0,4152,224,223,148,2676,1,1
30,15,142,-4,3052,217,218,101,4351,1,1
153,17,181,23,3821,210,214,204,3197,1,2
56,16,130,27,2915,244,224,186,2484,1,1
289,11,374,158,3461,211,208,173,1967,1,2
222,15,320,1,3046,218,208,142,3358,1,2
58,17,64,31,3865,225,229,154,1769,1,2
213,13,435,58,3664,243,252,131,1882,1,2
117,15,300,24,3594,208,237,171,1765,1,2
18,13,62,-60,3760,212,229,141,2268,1,2
177,19,155,32,3136,220,218,174,2089,1,1
131,9,372,2,5138,212,247,130,1907,1,1
359,5,159,0,5811,214,241,139,1932,1,2
49,15,182,73,3779,209,203,131,2336,1,1
359,12,269,23,6441,220,214,143,1923,1,2
150,8,928,1,5831,201,238,103,2036,1,2
174,19,500,151,2981,194,220,113,3597,1,2
264,14,296,2,3382,218,214,104,3218,1,1
187,5,546,80,2959,214,226,159,4041,1,2
104,14,513,37,2832,174,246,125,2240,1,1
324,1,358,22,3686,208,217,159,1938,1,2
202,2,145,1,4586,220,216,158,2273,1,2
326,11,83,1,3689,235,238,152,3097,1,2
84,16,487,1,4113,202,244,130,2782,1,2
225,15,202,0,4793,214,222,128,1822,1,1
63,12,202,7,2731,218,209,148,2014,1,2
215,9,559,59,3380,236,244,137,2481,1,1
293,0,243,33,5785,216,232,156,2104,1,2
144,11,504,80,3126,243,206,149,1820,1,1
125,5,405,166,4455,244,251,197,3805,1,2
300,16,132,91,3604,202,243,149,3400,1,1
338,11,260,85,2938,216,220,158,3098,1,2
139,17,66,2,3940,228,207,101,4162,1,1
161,7,44,0,3645,226,221,144,3171,1,1
262,19,115,28,3050,234,247,202,2014,1,1
246,16,371,83,4664,214,229,138,1879,1,2
334,6,166,-5,4103,218,240,132,4322,1,1
188,12,222,2,5639,233,210,127,1886,1,1
310,10,438,3,4980,233,230,189,1881,1,2
110,4,103,5,3413,230,222,129,2218,1,2
69,-1,265,27,3603,231,225,161,3662,1,2
144,11,452,2,3766,191,206,139,2198,1,1
155,8,295,21,5020,214,250,163,3049,1,2
332,7,131,-39,3826,229,237,179,2130,1,1
129,6,116,80,4015,230,205,161,1900,1,1
335,10,135,93,5429,241,225,156,2474,1,2
78,17,403,19,3821,233,202,166,1938,1,1
6,16,118,40,3509,231,235,122,1790,1,2
149,18,200,86,3314,234,207,156,4804,1,2
36,7,61,3,2854,219,229,120,2575,1,2
288,15,267,0,4419,231,219,193,2699,1,1
339,8,223,123,3710,243,227,124,2265,1,1
329,16,86,61,5763,202,247,177,1667,1,2
104,5,149,-4,2965,242,217,145,5066,1,2
240,12,224,-6,3611,205,241,129,4226,1,1
51,4,99,-1,5028,201,212,102,2564,1,1
155,13,119,5,2944,235,226,96,2707,1,1
95,18,329,162,4353,173,251,138,1938,1,1
351,16,208,57,2707,214,226,149,2817,1,1
136,6,288,-7,5173,242,219,164,1927,1,1
55,19,627,87,3540,227,222,141,3774,1,2
106,3,593,-2,4893,235,208,99,2426,1,2
185,13,539,5,3104,226,241,161,4083,1,2
82,16,61,-2,5006,204,230,150,4445,1,2
113,15,140,73,3731,173,223,171,2419,1,2
119,10,334,22,2767,178,224,176,1817,1,2
55,8,84,72,4325,227,221,97,4755,1,2
263,10,232,147,6285,190,245,122,1998,1,1
299,6,87,85,4403,180,222,119,1993,1,2
333,10,228,116,4223,243,217,162,1849,1,2
80,5,764,63,3603,222,231,211,3488,1,1
73,16,611,-73,5142,233,247,174,2396,1,2
34,2,191,64,5428,240,214,142,2695,1,2
16,12,62,96,3914,192,215,124,3451,1,1
104,19,355,42,3107,228,230,187,1850,1,2
94,4,138,58,2734,213,233,142,1760,1,2
256,13,50,6,5870,215,227,161,2926,1,2
309,7,149,94,3916,210,214,189,3061,1,2
328,8,195,3,3044,178,213,162,2383,1,2
78,15,218,62,3989,235,229,141,1659,1,2
110,12,54,2,3023,222,215,120,1962,1,2
91,6,385,7,5254,209,227,212,2303,1,1
78,-1,142,-6,5344,211,246,135,3272,1,2
62,15,45,13,3894,226,226,167,4301,1,1
73,13,258,36,4270,192,254,131,4334,1,2
34,7,72,101,2972,197,233,141,5001,1,1
142,18,781,38,3232,195,218,97,3201,1,1
312,16,306,76,2894,225,244,187,3223,1,2
66,11,272,17,5492,197,242,151,1709,1,2
98,0,233,19,5144,240,208,173,1865,1,1
157,16,122,-3,5887,227,229,113,1977,1,2
194,17,421,-1,3779,207,252,136,2090,1,1
40,15,500,2,3164,202,204,128,4039,1,1
127,11,388,11,5947,197,246,118,2275,1,2
322,19,824,53,5708,226,251,166,3844,1,2
86,10,462,95,4615,172,220,147,2712,1,2
69,19,148,87,3711,239,202,151,3877,1,1
45,14,383,36,3989,189,247,208,2961,1,2
20,16,66,-5,5261,242,206,160,2717,1,1
261,7,51,0,3539,227,240,155,2378,1,2
72,4,504,156,2826,230,222,151,2122,1,2
156,15,67,-5,3132,198,235,140,3370,1,2
80,15,302,42,4710,210,205,95,6669,1,2
112,6,136,19,3122,206,209,205,2688,1,2
298,6,563,136,2844,235,239,204,2947,1,2
3,10,272,92,5514,225,241,127,2858,1,2
324,7,57,9,3903,207,223,155,4261,1,2
75,11,104,-10,6447,237,242,186,3087,1,2
76,19,210,29,5121,218,216,156,1884,1,2
283,11,467,1,3162,242,228,185,2499,1,2
244,13,389,32,4494,232,240,160,1663,1,1
130,16,433,4,3111,224,223,150,1958,1,1
6,15,82,-2,5694,211,226,180,1893,1,2
188,16,42,29,3840,234,233,155,2133,1,2
128,15,90,106,4474,226,235,107,3969,1,1
184,6,160,124,4380,218,226,144,4193,1,1
156,13,86,-29,3729,211,226,141,1763,1,2
76,16,88,59,6793,227,208,128,4123,1,2
72,13,271,216,2952,231,223,119,2466,1,2
141,7,95,-7,2802,211,209,115,2351,1,2
167,3,180,-5,3105,194,236,138,3070,1,1
328,10,173,13,4488,217,222,154,5672,1,2
63,5,81,-1,5741,241,233,105,1890,1,1
89,18,161,3,3615,203,215,134,2729,1,2
185,5,172,165,6069,221,233,144,5121,1,2
120,10,84,30,3371,204,228,133,2163,1,1
254,17,60,-34,3170,236,246,160,3140,1,1
247,4,200,10,3930,203,249,177,1559,1,1
140,10,45,-7,6546,207,224,179,1924,1,2
220,10,256,77,3325,173,202,177,2957,1,2
87,13,137,94,3496,182,229,110,1741,1,1
100,8,346,35,4521,231,207,111,3877,1,2
66,17,1143,71,4937,218,223,96,3163,1,1
47,15,261,40,3942,232,232,172,1821,1,2
61,14,182,104,2755,241,241,175,2231,1,1
236,17,328,2,3436,233,209,163,1807,1,2
133,10,233,41,4741,238,227,153,5365,1,2
198,0,616,53,4365,183,219,147,5888,1,2
34,7,165,156,4434,207,224,154,4321,1,1
90,12,410,49,4622,237,253,155,2925,1,2
47,7,89,-5,4060,199,226,168,1826,1,2
208,17,280,-67,2855,235,224,166,2386,1,1
281,18,320,1,3644,207,246,148,7457,1,2
119,4,284,151,2695,229,225,123,2774,1,2
80,8,42,11,5163,171,221,126,4765,1,2
168,8,164,1,4248,183,207,111,1922,1,2
231,0,485,-5,4587,226,236,152,2017,1,2
25,13,58,19,4507,225,214,169,2170,1,1
192,12,919,-38,3157,199,205,144,5577,1,1
343,8,127,56,3245,197,250,139,1661,1,1
155,7,377,-1,2772,201,212,175,2070,1,2
100,15,125,17,2692,239,232,155,3480,1,2
101,17,70,39,4657,213,229,153,1876,1,2
336,10,358,2,4394,229,254,129,1709,1,2
77,13,318,86,3291,237,206,139,1667,1,1
156,14,245,-17,2695,205,228,109,2191,1,2
72,9,126,34,4213,240,232,113,2556,1,2
106,16,64,0,5994,231,246,128,2418,1,2
273,14,483,10,4395,224,233,198,1541,1,1
68,12,198,3,2952,232,204,177,2835,1,2
160,10,484,30,4247,171,243,105,1792,1,2
57,19,321,143,2853,236,226,182,3152,1,2
165,9,513,18,3284,170,254,100,2167,1,2
206,9,50,-45,2863,199,226,119,3151,1,2
86,19,117,5,4806,243,220,98,2189,1,2
252,12,270,4,4818,224,203,126,3799,1,1
42,9,752,194,3987,222,252,124,1663,1,2
347,19,533,15,2892,244,218,128,1895,1,2
109,4,309,-5,3211,193,220,129,2610,1,2
116,0,161,-10,3088,219,232,182,4570,1,2
320,7,543,58,4150,235,207,167,5146,1,2
52,14,337,16,2885,181,218,199,2695,1,2
163,11,324,111,5587,230,249,173,2318,1,2
60,17,316,-4,4859,226,225,172,2487,1,1
333,3,1203,0,3210,236,215,126,2499,1,1
111,12,169,3,3835,227,204,97,2518,1,1
195,17,209,1,5364,179,212,127,2337,1,1
128,8,54,-4,4604,201,238,120,4229,1,2
31,13,1095,-3,3031,214,223,131,1788,1,2
325,9,1060,63,6083,217,215,141,1868,1,2
125,13,142,137,3834,231,239,138,2341,1,1
99,4,55,25,5143,209,230,113,1826,1,2
137,9,267,0,4175,223,238,167,2304,1,2
26,9,231,219,6730,228,247,149,2146,1,2
28,9,286,1,3251,207,206,138,1712,1,2
124,8,426,5,3132,231,220,168,1726,1,1
123,8,178,8,3354,212,223,113,1629,1,1
208,18,553,5,3457,222,223,138,3058,1,2
31,11,148,7,2802,222,215,170,1725,1,2
127,15,532,19,3797,204,212,189,1734,1,2
151,8,149,119,3222,225,227,156,1882,1,1
69,5,529,-4,4925,233,232,118,1590,1,2
177,20,357,77,3393,196,254,163,1927,1,1
109,15,96,5,4595,218,237,95,1936,1,2
310,4,210,91,3738,222,226,166,1544,1,1
139,16,44,61,4546,217,207,139,1902,1,2
348,15,230,-7,2699,207,227,171,2317,1,1
4,4,220,2,4564,234,223,136,1920,1,2
96,13,46,56,2956,243,240,96,2008,1,1
192,19,55,24,4523,203,220,157,2643,1,2
69,1,178,131,3628,223,204,117,4514,1,1
233,4,451,8,4727,215,208,175,1955,1,2
97,13,614,5,4918,237,212,127,1575,1,2
352,16,62,6,3467,227,206,129,1650,1,1
0,6,123,189,4458,208,210,128,3947,1,1
83,6,265,140,5614,230,232,172,5159,1,2
108,7,434,65,2545,241,215,134,3929,1,2
107,11,149,-3,2647,224,219,104,2582,1,2
160,12,342,-2,4986,190,213,130,2260,1,1
6,18,360,56,3682,238,219,205,1667,1,2
89,12,443,0,3854,238,225,102,1596,1,1
190,6,487,0,4535,213,233,159,1516,1,2
116,16,451,15,4611,205,250,164,1914,1,2
122,19,370,4,4384,189,250,169,1930,1,2
38,0,77,61,5387,244,243,174,2391,1,2
286,18,241,25,5495,198,225,116,2085,1,2
300,5,242,4,3067,174,206,179,3193,1,2
321,6,270,128,5729,210,220,120,1672,1,2
327,10,459,114,4140,178,238,159,1411,1,2
39,14,55,33,4959,222,214,126,6179,1,2
172,9,227,124,5012,207,219,164,1648,1,1
206,6,257,124,3968,189,236,148,1493,1,1
354,0,129,54,2701,225,229,160,1785,1,2
166,19,546,114,3211,217,227,159,2074,1,2
107,11,269,217,2753,227,240,136,3685,1,1
57,14,327,-54,5546,223,212,150,1549,1,2
112,13,246,-5,3904,214,238,126,2401,1,2
53,3,207,8,2532,232,238,129,2808,1,2
24,19,197,3,3945,189,242,113,3643,1,1
300,15,107,37,2664,173,243,198,2194,1,2
19,16,65,36,5066,215,228,138,1630,1,2
344,2,325,19,5520,212,232,208,1465,1,2
14,9,185,46,3603,185,246,206,7299,1,2
351,13,105,-83,3541,185,215,129,3709,1,2
313,2,207,28,4824,165,231,144,6655,1,1
103,17,484,67,5953,210,209,116,2488,1,2
304,9,165,2,3927,220,228,173,3169,1,2
17,13,209,9,2575,207,210,97,1800,1,2
341,7,214,7,2671,233,233,207,2151,1,1
39,1,201,0,3168,211,212,209,2895,1,2
22,11,74,119,5483,206,218,133,1990,1,2
117,16,133,-5,4879,194,229,189,1843,1,1
15,15,500,51,4776,213,222,201,1591,1,1
108,19,47,66,3204,213,246,126,5224,1,1
61,7,44,91,5183,236,218,183,3908,1,2
318,9,560,-12,3184,212,234,129,1654,1,2
154,19,176,81,6617,223,232,138,3131,1,2
42,2,308,115,4771,243,226,151,1641,1,2
61,11,142,7,3385,211,210,91,4775,1,2
0,6,667,32,3113,185,214,92,2693,1,1
228,17,262,39,5033,232,253,168,1492,1,2
150,3,558,100,6014,197,217,119,2149,1,2
146,19,63,0,2980,182,246,111,3188,1,2
81,11,217,56,5144,223,226,92,2313,1,1
64,19,157,116,2993,236,236,134,4392,1,2
118,13,387,1,3221,228,223,123,1727,1,2
138,8,179,-9,4133,228,217,128,1768,1,2
331,9,403,40,3699,189,245,196,2058,1,2
290,2,155,6,6389,230,243,182,1435,1,1
220,2,142,5,5506,203,219,120,2125,1,2
265,19,47,4,5621,184,214,111,2356,1,1
33,16,42,2,3024,174,231,126,1778,1,2
20,5,128,0,6146,220,245,167,1721,1,2
70,16,187,-2,2627,216,211,127,2271,1,2
91,19,1156,27,6073,228,209,96,1744,1,2
38,16,76,4,5800,214,225,197,1713,1,1
324,12,627,78,4760,165,218,119,1975,1,1
17,18,650,92,5327,218,241,155,2610,1,2
294,7,105,0,6036,231,239,145,1936,1,2
233,8,521,-22,5295,196,231,140,2054,1,2
113,11,125,52,2705,206,254,162,1797,1,1
297,18,396,1,4605,218,253,168,1908,1,2
98,5,264,1,3306,228,224,203,1963,1,2
147,8,513,-6,2554,225,228,109,2199,1,2
185,20,518,57,5567,196,227,131,1886,1,1
144,20,414,22,2999,195,247,116,3781,1,1
280,19,296,90,4438,226,219,140,1622,1,1
335,9,108,-12,5107,215,238,124,1645,1,2
305,2,548,-7,5219,215,238,134,1585,1,1
124,8,116,2,2903,221,225,168,1730,1,2
174,15,113,153,3412,244,246,149,1979,1,2
185,16,188,81,2652,221,218,107,1870,1,1
70,14,271,31,2224,227,229,134,2589,1,2
88,7,156,18,6876,229,199,109,2425,1,2
167,16,317,36,2460,219,238,120,3787,1,1
52,12,162,5,2348,221,212,151,3265,1,1
342,10,65,36,3581,185,220,211,1517,1,2
115,8,80,2,2521,217,223,122,2077,1,2
195,7,147,31,3419,200,221,161,1474,1,1
342,17,115,1,4525,175,202,147,3610,1,2
81,17,114,-2,3673,188,225,164,2222,1,1
138,4,519,-66,2499,227,218,106,2742,1,2
174,12,615,29,4903,232,210,190,2427,1,2
167,9,75,86,4385,188,227,113,1585,1,2
227,9,908,83,4139,231,219,125,1621,1,2
295,8,357,69,5999,196,225,139,1748,1,2
329,14,147,9,5301,218,252,91,3272,1,2
141,14,456,-7,4002,203,241,203,2675,1,1
67,10,300,58,2476,220,208,115,2121,1,2
307,4,121,59,5982,208,205,113,1815,1,2
128,11,196,223,4245,237,232,179,1896,1,2
179,8,1027,10,5332,213,214,101,5385,1,2
289,13,140,123,4189,223,207,171,1721,1,2
51,6,248,29,3158,206,221,140,1619,1,2
250,18,402,-2,3453,218,218,152,4066,1,2
264,6,279,2,4402,227,217,194,1852,1,2
135,1,407,37,3181,215,219,141,1544,1,2
277,17,156,17,2620,187,240,157,1698,1,2
127,16,289,24,4519,226,199,144,2350,1,2
75,10,171,57,2070,223,210,130,3921,1,2
212,17,164,78,4401,185,196,166,3089,1,1
356,5,96,106,6765,228,225,134,2349,1,2
48,17,370,40,2521,204,222,119,4223,1,1
350,4,420,1,5775,170,219,108,1918,1,1
344,12,45,62,3739,171,223,116,2052,1,2
81,19,45,24,2754,233,237,162,6986,1,1
87,6,347,28,2111,224,234,137,2491,1,2
99,12,123,-9,2341,239,221,127,5288,1,1
298,18,210,3,3390,186,199,122,2774,1,1
34,9,531,244,3676,194,247,146,3169,1,1
147,8,600,64,2272,227,215,137,3744,1,2
145,11,217,5,4035,216,226,154,2998,1,2
31,7,322,-3,5980,217,223,168,2218,1,1
70,6,67,221,4559,215,241,149,3628,1,1
131,16,97,0,2498,216,211,136,3115,1,1
168,6,52,96,3409,234,212,159,3580,1,2
82,9,145,109,2684,226,234,109,1899,1,2
80,8,576,113,4599,243,201,199,2022,1,2
284,2,147,2,4392,228,250,132,1435,1,1
123,11,206,23,3802,226,251,116,1454,1,1
126,9,163,118,3194,188,248,115,2906,1,2
151,16,386,36,2394,221,203,136,3864,1,1
181,11,505,157,4698,198,198,148,6474,1,1
249,13,268,145,3385,209,244,103,1897,1,2
63,-1,188,38,6313,208,204,122,2065,1,2
74,12,71,36,2186,241,219,122,7510,1,2
35,7,160,8,4610,169,234,129,2421,1,2
160,8,325,-1,2313,226,236,139,2309,1,2
118,18,796,136,2564,213,205,135,3105,1,1
160,17,132,219,2895,230,213,126,2350,1,1
281,18,192,-4,3155,240,250,179,2277,1,2
7,18,389,53,4808,167,251,181,2883,1,2
98,18,331,14,2245,242,233,153,1954,1,2
117,18,610,0,3382,217,203,131,1655,1,2
94,19,69,107,4425,211,217,208,1755,1,1
96,2,434,3,2059,232,215,146,2492,1,1
31,15,323,45,2048,227,238,113,2862,1,2
117,19,102,2,4673,234,237,187,1999,1,2
189,15,146,43,2896,242,230,156,1797,1,1
86,13,661,140,2665,228,236,165,2169,1,1
135,4,97,30,2388,207,211,152,1800,1,2
266,7,196,16,2573,230,211,161,2872,1,2
107,15,126,3,2344,208,236,144,1964,1,1
31,14,252,81,3671,235,249,146,3638,1,2
114,16,163,59,4808,208,223,121,2322,1,2
77,7,140,3,2078,232,216,107,2318,1,2
354,9,263,36,4411,226,232,143,2292,1,2
248,13,234,81,4584,238,254,132,1440,1,2
143,13,385,10,3518,164,243,120,2645,1,2
221,19,260,41,4895,235,216,174,1549,1,1
72,17,378,33,4007,224,200,213,2273,1,2
303,13,116,154,2732,223,245,146,2145,1,2
117,10,338,5,6279,243,222,198,2595,1,2
275,13,56,-5,3083,211,211,179,4083,1,1
102,13,434,-24,2093,215,220,114,2270,1,1
57,8,104,0,5520,242,238,139,1684,1,2
162,8,355,-5,4556,242,233,205,3330,1,2
252,16,453,107,3089,214,254,144,2539,1,1
3,19,309,81,2606,180,215,149,1962,1,1
234,7,42,12,3209,164,224,173,4220,1,1
71,8,360,25,2514,229,221,136,2073,1,2
183,10,555,-5,3504,243,216,131,1651,1,2
87,17,205,-47,4185,182,240,134,1823,1,1
146,17,39,12,4033,234,221,115,2317,1,1
78,0,253,63,2414,223,230,132,2002,1,1
73,19,304,137,3476,239,216,116,1486,1,1
321,18,38,9,5423,202,235,140,6133,1,1
351,11,91,74,2627,227,215,109,2265,1,2
350,5,158,11,2569,201,239,126,2066,1,2
15,12,68,1,3607,235,205,141,1438,1,1
295,7,477,-26,5951,220,213,110,2551,1,2
113,5,440,0,2370,217,239,135,2588,1,2
298,16,307,35,2356,184,223,153,2180,1,1
68,14,108,225,4556,231,249,123,2740,1,2
159,9,145,15,3740,243,218,156,1648,1,2
318,7,178,-1,5428,207,206,142,3244,1,2
163,13,625,17,2210,213,226,138,3385,1,1
186,20,242,44,4941,227,195,104,2509,1,1
321,13,130,43,2600,237,222,170,1795,1,1
64,14,84,87,2599,244,206,135,4932,1,2
19,6,112,15,2747,230,237,180,3870,1,1
134,19,185,183,3370,216,228,141,2651,1,2
118,0,541,34,2994,199,199,130,2043,1,1
163,14,82,174,3030,230,237,167,1695,1,1
312,9,127,48,3479,204,232,91,1850,1,2
81,1,290,89,4150,243,229,94,2050,1,2
77,9,454,57,2619,196,219,102,1817,1,2
309,11,179,89,2613,216,205,104,2980,1,1
0,1,627,-2,5314,209,220,147,6319,1,1
132,8,47,129,3997,227,235,180,1874,1,1
87,3,79,6,2392,212,226,144,1741,1,2
328,15,169,127,4307,237,225,183,1564,1,2
70,12,63,22,3293,225,197,206,2252,1,1
103,19,529,63,2391,228,217,113,3171,1,2
27,8,38,0,4998,205,235,163,6503,1,2
204,6,805,35,2599,205,240,131,4034,1,1
353,14,187,27,2680,194,238,204,1605,1,2
53,4,382,-8,2290,209,219,132,4583,1,1
105,6,750,17,2327,226,224,138,1835,1,1
81,19,139,21,3858,193,237,148,1485,1,2
329,11,183,13,3982,240,249,215,2649,1,2
175,10,76,-8,5105,219,215,143,1468,1,1
65,0,196,109,2741,209,254,153,2004,1,2
167,6,226,10,2556,197,229,131,4728,1,2
318,8,126,214,3125,169,223,185,1894,1,1
127,10,578,48,2896,245,225,97,2147,1,2
357,11,246,28,2416,173,232,184,4926,1,1
94,9,256,25,2016,210,229,116,1878,1,1
335,11,251,51,2989,227,245,157,1433,1,2
304,13,100,198,3144,236,230,151,1689,1,2
155,9,174,131,3476,221,224,145,1474,1,1
14,12,43,-2,5436,190,224,206,1973,1,2
167,15,160,100,5942,195,245,155,1399,1,2
148,4,308,210,3379,226,199,189,4132,1,2
99,15,279,191,5103,222,226,88,2582,1,2
17,17,56,5,4196,232,220,173,1612,1,1
117,7,109,67,5775,168,223,145,1471,1,1
15,11,451,247,6379,227,213,121,1515,1,2
126,20,198,85,3663,193,254,163,2009,1,2
86,7,463,24,2547,214,240,151,1785,1,1
94,13,31,-6,3771,239,227,141,2057,1,1
156,4,31,7,3099,239,230,190,1808,1,2
82,16,155,6,4221,227,231,88,1824,1,2
77,18,275,1,4717,203,214,117,2144,1,2
